time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010452050000	6.12729	19.8974	5.23499	3.56951	0.402508	radar	0	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.87451	19.7991	5.26289	3.58111	0.390504	lidar	9.92745e-05	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.61845	19.6585	5.44257	3.61404	0.424253	radar	0	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.49353	19.5081	5.18502	3.67951	0.495014	lidar	0.00359023	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.26674	19.3674	5.20038	3.70388	0.492952	radar	0	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.07458	19.2556	5.1069	3.72938	0.500498	lidar	0.00160112	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.89127	19.1446	4.89177	3.74528	0.477053	radar	0	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.77069	18.9818	4.74623	3.80426	0.531961	lidar	0.00153739	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58015	18.8263	4.84957	3.83576	0.546245	radar	0	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40993	18.6933	4.78967	3.86231	0.549369	lidar	0.000858954	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.24436	18.55	4.62648	3.88314	0.530541	radar	0	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.14014	18.3934	4.50275	3.93693	0.575187	lidar	0.00138497	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
